FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
6A,BASES DE DATOS DISTRIBUIDAS,4,RANGEL ALCANTAR ERICK,,,,,12/13,L C Básicas,,
6A,ADMINISTRACIÓN Y SEGURIDAD DE REDES,4,FLORES FLORES EDUARDO,,,1/2,,10/11,L CISCO,,
6A,BASES DE DATOS DISTRIBUIDAS,4,RANGEL ALCANTAR ERICK,1/2,,,,,L D Software,,
6A,SEMINARIO DE INVESTIGACIÓN I,3,SANDOVAL CARRILLO SARA,,,3,,,L D Software,,
6B,COMUNICACIONES ÓPTICAS,4,MOCTEZUMA HERNÁNDEZ JOSÉ,,,1/2,,1/2,Auditorio 3,,
6B,INGLÉS,3,RAMOS MADRIGAL ABEL,,,6,,,Auditorio 3,,
6B,SEMINARIO DE INVESTIGACIÓN I,3,SANDOVAL CARRILLO SARA,8/9,,,,,Auditorio 3,,
6B,INGLÉS,3,RAMOS MADRIGAL ABEL,,,,4/5,,Auditorio 4,,
6B,DIRECCIÓN DE PROYECTOS,3,CARRILLO HIDALGO JOAQUÍN,,,,6,,D Comp Lab,,
6B,DIRECCIÓN DE PROYECTOS,3,CARRILLO HIDALGO JOAQUÍN,,3/4,,,,D Comp Lab,,
6B,COMUNICACIONES MÓVILES Y SATELITALES,4,AQUINO SANTOS RAÚL TEODORO,6/7,,,,4/5,L Redes,,
6B,BASES DE DATOS DISTRIBUIDAS,4,RANGEL ALCANTAR ERICK,,1/2,,,,L C Básicas,,
6B,ADMINISTRACIÓN Y SEGURIDAD DE REDES,4,FLORES FLORES EDUARDO,,,3,1/2,3,L CISCO,,
6B,BASES DE DATOS DISTRIBUIDAS,4,RANGEL ALCANTAR ERICK,11/12,,,,,L Cómp Móv,,
6B,SEMINARIO DE INVESTIGACIÓN I,3,SANDOVAL CARRILLO SARA,,,4,,,L Cómp Móv,,
6D,INGLÉS,3,RAMOS MADRIGAL ABEL,5/6,,,,,Auditorio 2,,
6D,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,2,,,,,Auditorio 2,,
6D,SEMINARIO DE INVESTIGACIÓN I,3,ACOSTA DÍAZ RICARDO,,,,4,,Auditorio 3,,
6D,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,3,,,,Auditorio 3,,
6D,INGLÉS,3,RAMOS MADRIGAL ABEL,,,,,6,Auditorio 4,,
6D,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,,,,4/5,L C Básicas,,
6D,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,,2,,L D Software,,
6D,SEMINARIO DE INVESTIGACIÓN I,3,ACOSTA DÍAZ RICARDO,,,3,,,L Cómp Móv,,
6D,BASES DE DATOS DISTRIBUIDAS,3,PALACIOS AGUILAR EDER ORLANDO,,,,1,,L Cómp Móv,,
6D,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,3,,,,,L Cómp Móv,,
6D,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,1/2,,,L Cómp Móv,,
6D,SEMINARIO DE INVESTIGACIÓN I,3,ACOSTA DÍAZ RICARDO,4,,,,,L IH-C,,
6D,BASES DE DATOS DISTRIBUIDAS,3,PALACIOS AGUILAR EDER ORLANDO,1,,,,,L IH-C,,
6D,BASES DE DATOS DISTRIBUIDAS,3,PALACIOS AGUILAR EDER ORLANDO,,,,,1,L IH-C,,
6D,TESTEO Y MÉTODOS DE USABILIDAD,3,SANTANA MANCILLA PEDRO,,,,,2,L IH-C,,
6D,TESTEO Y MÉTODOS DE USABILIDAD,3,SANTANA MANCILLA PEDRO,,1/2,,,,L IH-C,,
6E,INGLÉS,3,RAMOS MADRIGAL ABEL,,,,,5,Auditorio 1,,
6E,SEMINARIO DE INVESTIGACIÓN I,3,ACOSTA DÍAZ RICARDO,,,,,4,Auditorio 3,,
6E,SEMINARIO DE INVESTIGACIÓN I,3,ACOSTA DÍAZ RICARDO,,,4/5,,,L C Básicas,,
6E,BASES DE DATOS DISTRIBUIDAS,3,RODRÍGUEZ ORTIZ MIGUEL ÁNGEL,9,,,8/9,,L C Básicas,,
6E,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,,,1/2,L C Básicas,,
6E,INGLÉS,3,RAMOS MADRIGAL ABEL,7/8,,,,,L Cómp Móv,,
6E,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,,6,5/6,,L Cómp Móv,,
6E,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,,,,3,L IH-C,,
